Serial No,Category,Name,Specification,Link
1,Projectors,Portronics Beem 440 Smart LED Projector with 720p HD Resolution," Rotatable Design, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 2000 Lumens, Screen Mirroring, 3 Watts Speaker (White)",https://www.amazon.in/Portronics-Projector-Resolution-Rotatable-Streaming/dp/B0CQG7XMXC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-3
2,Projectors,Mini Projector 4K 1080P Home Theater Outdoor Movie Video Mini Projector with USB Interfaces and Remote Control, Compatible with Smartphone/Tablet/Laptop/TV Stick/USB Drive,https://www.amazon.in/Projector-Theater-Interfaces-Compatible-Smartphone/dp/B0D94QPNZD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-4
3,Projectors,Portable Mini Projector by VANARAY Home Theater LED Projector with Remote Controller," 3500 lm LED Corded Projector UC500 Support HDMI, AV, SD, USB Interfaces (Yellow)",https://www.amazon.in/Portable-Projector-VANARAY-Controller-Interfaces/dp/B0DC5K8K18/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-5
4,Projectors,WZATCO Yuva Go Android 13.0 Smart Projector," 6900L (2X Brighter), 1080P & 4K Support, Rotatable Design, Auto & 4D Keystone with Netflix, Prime etc, WiFi 6 & BT, Screen Mirroring, 720P Native",https://www.amazon.in/WZATCO-Yuva-Go-Projector-Rotatable/dp/B0D6N9NHLD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-6
5,Projectors,E Gate New i9 Pro Smart Projector," 6900 LED Lumens 2X Brightness, 1080p & 4K Support, Digital Focus & Digital Keystone, Bluetooth, ARC HDMI, USB, AV, WiFi, 720 Native, PreLoaded Apps, ScreenCast",https://www.amazon.in/Projector-Brightness-Bluetooth-PreLoaded-ScreenCast/dp/B0D8STLQ8X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-7
6,Projectors,TOPTRO Free Style Pro Projector for Home 4K & 1080p Support," 270° Rotatable Projector 6900L Android 11 WiFi Bluetooth YouTube PrimeVideo Hotstar Netflix Apps, 720p Native, 150"" Max Display",https://www.amazon.in/TOPTRO-Free-Style-Projector-720p/dp/B0D79LD94D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-8
7,Projectors,WZATCO Yuva Plus (Upgraded) Native 1080P Full HD Projector with 4K Support," 8400L (Best in Segment), 250"" Screen | 5 Watt HiFi Speaker, Bluetooth 5.1 | Slide Lens Door",https://www.amazon.in/WZATCO-Yuva-Upgraded-Projector-Brightness/dp/B0C8SNGLP8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-9
8,Projectors,RDG Mini Projector," YG-300 Pro Mini Projector, Portable Film Projector 1080p Supports Children's Gift, Home Cinema, Compatible with Smartphone/Laptop / PS4 / Firestick",https://www.amazon.in/RDG-Projector-Childrens-Compatible-Smartphone/dp/B0D86RHL8J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-10
9,Projectors,UNIGEN UNIPLAY 100 5K Lumens 1080P Full HD Projector for Outdoor Home Cinema Office," 200"" Screen, in-Built Speaker with HDMI, USB, AV, AUX, Tablet, Laptop [No Wi-Fi & Bluetooth]",https://aax-eu.amazon.in/x/c/JBHNqL40MyiRPMOVDm7f_bMAAAGRcMaYXwMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBBVYlr/https://www.amazon.in/UNIGEN-UNIPLAY-100-Projector-Bluetooth/dp/B0D3F7X1ZZ/ref=sxin_23_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&cv_ct_cx=Projectors&dib=eyJ2IjoiMSJ9.f5kTdlRae-mwbWvbXvunkw.Ow4HN4MvR0gzueTKtOS5nxfGNSfh-odcqV4-RnELFI0&dib_tag=se&keywords=Projectors&pd_rd_i=B0D3F7X1ZZ&pd_rd_r=8b5177f4-cf38-42bd-bc91-131248e54c4b&pd_rd_w=1QoAW&pd_rd_wg=eTM22&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=2HRM7ZHTD2YH2XXXXC6J&qid=1724173948&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
10,Projectors,Mini Projector with 64GB Ultra SD Card, YG-300 LCD Mini Support 1080P Portable LED Projector Home Cinema,https://www.amazon.in/Projector-YG-300-Support-Portable-Cinema/dp/B0D86HQYN1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.5gQ7BvHZWhWEKJagHh34iPkIemje0-j5zLxQfPxDQkG--LeZnrawaN3cq-Sa9oCg9kMpOgVuOCOv_b6VJH5Zqpx7idhs1EyTwSwTqQoSGegTRil9AOu6VLgZZePEYReGn-ApLFA_Jh2vpBc3cDUBzoh1vfqTzjcDgrmegbBOWNf3vLltPqNTmPrsyVDxpGwdx0xnWapiQVvoQ2aLAaqSeC9AEyamjc26EpSkXB73e6M.AbMs0FrvMCd5Xp3F6syQ3ias8zGhINGBe_6saxzl-R0&dib_tag=se&keywords=Projectors&qid=1724173948&sr=8-13
